feature_index,importance_mean,importance_std
171,-0.006519012955179948,0.004594146443969004
2,-0.006545600684107383,0.0027222947659491644
149,-0.006634261490502158,0.005889500932447861
193,-0.006709335048665238,0.0025786731070504983
214,-0.006828449002170228,0.004326536995985561
15,-0.006909145166740321,0.004909665310676463
26,-0.006928749503133891,0.005230961939732665
154,-0.006997137206289639,0.008578905778116229
90,-0.007004752107188006,0.004740516936652751
35,-0.007090467693765479,0.0020188452290721623
18,-0.00710833015758614,0.007017035625925639
54,-0.007237048891052078,0.00437057287755603
10,-0.0072509667623269995,0.003708266815531337
19,-0.007347384776374072,0.004854875630011888
167,-0.007360216539606052,0.010055155225821285
69,-0.007439230227723187,0.003831679498114137
158,-0.007622336652865202,0.005078598998313515
51,-0.007627874966405368,0.002639768283536433
66,-0.007797341199853397,0.007437596095968414
248,-0.007938835184460096,0.006479307151239206
155,-0.007996498619930608,0.0026967272269947987
194,-0.008003812976332602,0.002839412272444534
146,-0.008177830493157128,0.006929141589690225
161,-0.008297329485339195,0.005557278105958162
85,-0.00830902042885987,0.003226254017161212
78,-0.008462326923384434,0.002682939520690219
187,-0.008897278811303472,0.0059946166335216496
21,-0.008978142927299282,0.007572620916330171
91,-0.010926458807782553,0.007430519882442065
103,-0.010961273059294818,0.006689906038040382
123,-0.013068356345403842,0.008450119577398999
125,-0.023734405572605494,0.011483043812774894
